hotelName,hotelInformationUrl,hotelMinCharge,telephoneNo,reviewAverage
ＢｉＢｉ　Ｈｏｔｅｌ　ＳＡＫＵＲＡＺＡＫＡ,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=183234,1820,098-988-8791,
ゲストハウス　海風,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=158885,1110,098-917-1298,5
ｎａｈａ－ｄｅ．ａｓｏｂｕ,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=182548,2660,090-6861-3519,
アパホテル＜那覇若狭大通＞,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=183849,3330,098-862-2111,
ＳＴＡＹ　ＩＮ　ＳＵＭＵＫＡ　国際通り,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=177091,,098-865-5525,4.6
Ｖｉｌｌａ　Ｉｚｕｍｉｚａｋｉ（ヴィラ泉崎）,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=158476,2250,098-894-3597,5
ＭｙＰｌａｃｅ,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=149267,943,080-8569-2887,4.11
テンポイントホテル：エアポート,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=177614,1500,098-851-5346,4.5
Ｎ’ｓＰｏｒｔｓｉｄｅ泊,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=168287,1580,098-894-8205,4
ビジネスホテルマリンウエスト那覇,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=9460,4000,098-863-0055,5
ホテルユクエスタ東町,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=183825,2925,098-866-0620,
Ｍｒ．ＫＩＮＪＯ　ｉｎ　ＭＩＨＡＲＡ,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=165989,1980,098-894-6086,4.2
たびの邸宅　沖縄那覇,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=172467,4950,0800-805-7197,3
ワイヤーズホテルＮＡＨＡ,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=147940,3500,098-917-5267,4.2
Ｍ’ｓＨＯＴＥＬ　おもろまち,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=179010,1436,050-5275-0318,
Ｍｃｉｔｙ　ｉｎ　Ｆｕｒｕｊｉｍａ,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=182111,1360,03-4405-2361,
サンチャゴゲストハウス那覇,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=172613,1500,080-4437-8570,0
ｒｏｂ　ｃｏｎｄ,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=145341,1500,098-851-3202,3
ＨＯＴＥＬ　ＣＯＺＹ　ＳＴＡＹ　ＩＮ　那覇,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=177089,2500,098-988-1952,4.25
ロハスヴィラ,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=54224,1,098-867-7757,3.4
レジデンシャルホテル１８３那覇（Ｒｅｓｉｄｅｎｔｉａｌ　Ｈｏｔｅｌ　１８３　Ｎａｈａ）,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=176578,2200,050-3138-4183,5
レジデンシャルホテル那覇　美栄橋（Ｒｅｓｉｄｅｎｔｉａｌ　Ｈｏｔｅｌ　Ｎａｈａ　Ｍｉｅｂａｓｈｉ）,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=183907,3000,050-3177-2942,5
シークレットハウス牧志,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=151299,6000,098-911-5282,5
Ｋｏｋｕｓａｉ　Ｓｔｒｅｅｔ　Ｇａｒｄｅｎ　Ｈｏｔｅｌ,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=182307,2063,098-989-7617,
コンドホテル　ＪＯＹ　ＩＮＮ,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=179196,3564,080-2156-8075,
オールステイ寿,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=178524,1117,050-5275-0318,
ステラリゾート,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=44353,1,098-863-1330,3.25
グレイス那覇,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=51874,1200,098-863-2752,3.5
ＴＨＥ　ＫＩＴＣＨＥＮ　ＨＯＳＴＥＬ　ＡＯ　ザ　キッチンホステル　アオ,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=183017,1680,098-863-8156,
Ｎｅｗ　Ｎｏｒｍａｌ　Ｃｏｎｄｏ　ｉｎ　ＮＡＨＡ　ＡＩＲＰＯＲＴ（ニューノーマルコンドイン那覇空港）,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=183837,1500,098-988-0996,
ホテルアーバンシー１　前島,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=168260,1870,098-917-5357,4
沖縄家庭料理の宿　なかはら,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=28077,5600,098-887-7073,5
ＨＯＴＥＬ　ＣＯＺＹ　ＳＴＡＹ　ＩＮ　那覇曙,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=168466,3250,098-988-1952,4.25
ゲストハウス　Ｓｅａ〜ＰａっＰａ（女性専用）,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=49384,2250,098-863-4424,5
ホテルトーマス旭橋駅,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=180630,2120,098-860-1717,5
Ｈｏｓｔｅｌ　沖縄　リトルアジア　Ｇｕｅｓｔ　Ｈｏｕｓｅ,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=44183,1,098-862-3446,0
民宿　たつや旅館,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=38434,1800,098-860-7422,5
ＰＩＮＥＡＰＰＬＥ　ＨＯＴＥＬ,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=179097,2800,05031766454,5
ＬＥＳＴＥＬ　ＮＡＨＡ,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=178159,1390,098-917-0314,
ミコノスリゾート　南風,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=19991,1,098-863-1183,3
１泊８００円〜の宿　『ＣａｍＣａｍ沖縄』,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=37506,800,098-863-0022,3
Ｃａｓａ　Ｌｅｏ　安里（カサレオ安里）,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=182105,3000,090-1942-3539,
ホテル　よしだ,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=18133,2980,098-868-0161,3
Ｍｒ．ＫＩＮＪＯ　ｉｎ　ＭＡＴＳＵＯ,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=167690,1830,098-917-2067,5
シーサーのかくれ家,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=166988,1100,09083881167,
Ｍｒ．ＫＩＮＪＯ　ｉｎ　Ａｒｃａｄｅ　ａｎｇｅ　ｍｉｏｎａ,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=167932,2010,098-917-1580,0
Ｍｃｉｔｙ　ｉｎ　Ｍａｅｊｉｍａ,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=182112,1610,03-4405-2361,
グッド　アパート,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=181503,1433,03-4405-2361,
波之上ビーチホテル,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=172318,2750,098-975-9905,
Ｓｉｍｐｌｅ　Ｓｔａｙ　Ｍａｋｉｓｈｉ,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=177722,900,090-8388-1167,2
ＣｌｅａｎＨｏｔｅｌｓ　ｉｎ　Ｈｉｇａｓｈｉｍａｃｈｉ　Ａｎｎｅｘ,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=182468,2740,098-917-2760,
Ｍｃｉｔｙ　ｉｎ　ＷＡＫＡＳＡ,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=182113,1445,03-4405-2361,
ＳＹシリーズ壺屋,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=177754,,080-8362-1407,
民宿　みーふぁいゆー,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=135928,1000,098-988-0888,5
ＣｌｅａｎＨｏｔｅｌｓ　ｉｎ　Ｈｉｇａｓｈｉｍａｃｈｉ,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=182467,2490,098-894-8798,
沖縄伝統体験型宿　じんじん,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=182570,2000,098-989-7617,
ネストホテル那覇久茂地,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=182439,,098-975-7385,4.48
Ｍｒ．ＫＩＮＪＯｉｎＣｏｌｏｒ′ｚＣｉｉｚｉ,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=176603,1650,098-917-1571,3
アパホテル＜那覇＞,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=67292,,098-868-9111,3.63
ゲストハウス　テラス坂下,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=178666,1520,080-6480-9925,
ｉ　ｈｏｍｅ　Ｔｓｕｂｏｇａｗａ【Ｖａｃａｔｉｏｎ　ＳＴＡＹ提供】,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=173727,2128,050-5444-6620,
Ｌａ　Ｌｕｍｉｅｒｅ　Ｏｒｏｋｕ【Ｖａｃａｔｉｏｎ　ＳＴＡＹ提供】,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=173295,2520,050-5444-6620,
民宿やすらぎ　＜沖縄県＞,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=160941,900,098-863-7142,0
ゲストハウス　ＢＡＳＥ　ＯＫＩＮＡＷＡ,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=69365,1500,098-868-2968,0
ＨＯＴＥＬ　ＭＥＲＣＩＥＬ　ＴＳＵＪＩ,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=166106,1600,098-894-8571,4
スマイルホテル那覇シティリゾート,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=151274,,098-869-2511,4.07
沖縄の宿　あじまぁ,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=54214,1100,098-975-9851,0
ＮＡＨＡ　ＡＳＡＨＩ　ＨＯＵＳＥ,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=181502,1433,03-4405-2361,
グランスイート新都心,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=181743,1490,070-8374-8530,
民宿グリーンハウス＜沖縄県＞,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=28056,1500,098-868-9449,2.5
Ｖｉｌｌａ　Ｕｋｉｓｈｉｍａ,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=179868,1500,090-8388-1167,
ホテル・アンドルームス那覇ポート（２０２２年６月１日ＯＰＥＮ）,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=183747,1500,098-861-8111,
安里テラス,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=179087,1563,03-6822-3598,
ホテルリビングイン那覇港前,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=183960,1600,098-943-1339,
ビレッジまつお２０１,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=181232,1700,050-5534-5255,
Ｍｒ．ＫＩＮＪＯ　Ｃｏｌｏｒ’ｚ　Ｋｕｎｉｎｄａ,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=177756,1800,098-917-6272,
ＢｉＢｉ　Ｈｏｔｅｌ　波之上,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=184144,1825,098-988-9215,
ホテルアーバンシー２　松尾,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=176932,1870,098-917-5357,
美らガーナハウス壷川,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=161079,1995,098-855-6061,3
ゲストハウス　いちゃりばちょーでー,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=165009,2000,098-943-0774,
アベストＣＵＢＥ那覇国際通り,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=158644,2300,098-861-9900,4.67
ＫＹアパートメント,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=166471,2360,098-855-6061,
龍球,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=167968,2460,080-6483-9577,
Ｓｏｕｔｈｅｒｌｉｅｓ久茂地,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=181539,2500,070-1369-1334,
メゾン津波,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=181552,2563,070-1369-1334,
Ｌｅ　Ｓｏｌｅｉｌ　Ａｓａｔｏ【Ｖａｃａｔｉｏｎ　ＳＴＡＹ提供】,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=170443,2614,050-5444-6620,
ウエストヴィラ,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=178301,2679,098-894-3597,
ＲＹＵＫＡ　ＨＯＴＥＬ　ＮＡＨＡ（琉華ホテル那覇）,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=168244,2750,098-894-8865,5
Ｇｏｏｄ　Ｌｉｆｅ　Ａｐａｒｔｍｅｎｔ,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=183606,2750,06-4394-7222,
那覇ハレアカラヒガ　一軒家まるごと貸し出し　駐車場有　駅近【Ｖａｃａｔｉｏｎ　ＳＴＡＹ提供】,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=170167,2868,050-5444-6620,
ゲストハウス　ＦＵＫＵＴＯＭＩ,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=141899,2900,098-861-8896,0
那覇中心街まで徒歩圏内、空港近く、モノレール駅近く【Ｖａｃａｔｉｏｎ　ＳＴＡＹ提供】,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=169038,3159,050-5444-6620,
ヴィラコースト　西町【Ｖａｃａｔｉｏｎ　ＳＴＡＹ提供】,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=169975,3192,050-5444-6620,
レーヴＫ２０１【Ｖａｃａｔｉｏｎ　ＳＴＡＹ提供】,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=170702,3226,050-5444-6620,
空港から車で８分。駐車場無料でシンプル快適リラックス空間ＯＫＩＮＡ【Ｖａｃａｔｉｏｎ　ＳＴＡＹ提供】,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=171126,3316,050-5444-6620,
Ｂ＆Ｂ　４　Ｒｏｏｍｓ,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=148985,3350,098-988-0251,0
ホテルフロムオキナワ【Ｖａｃａｔｉｏｎ　ＳＴＡＹ提供】,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=171361,3360,050-5444-6620,
〜ＡＫＥＢＯＮＯ５－Ａ〜　国際通り＆　空港まで車で１０分♪【Ｖａｃａｔｉｏｎ　ＳＴＡＹ提供】,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=175748,3360,050-5444-6620,
Ｔｈｅ　Ｇｕｅｓｔ　Ｈｏｕｓｅ　Ｎｏａｈ【Ｖａｃａｔｉｏｎ　ＳＴＡＹ提供】,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=170725,3444,050-5444-6620,
カモミール西町【Ｖａｃａｔｉｏｎ　ＳＴＡＹ提供】,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=170576,3461,050-5444-6620,
パラダイスイン安里＿国際通り徒歩１分【Ｖａｃａｔｉｏｎ　ＳＴＡＹ提供】,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=175828,3500,050-5444-6620,
〜ＡＫＥＢＯＮＯ５－Ｂ〜　国際通り＆　空港まで車で１０分♪【Ｖａｃａｔｉｏｎ　ＳＴＡＹ提供】,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=175750,3547,050-5444-6620,
〜ＡＫＥＢＯＮＯ５－Ｃ〜　国際通り＆　空港まで車で１０分♪【Ｖａｃａｔｉｏｎ　ＳＴＡＹ提供】,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=175751,3547,050-5444-6620,
Ｐａｒａｄｉｓｅ　Ｉｎ＃１階＿国際通り２分【Ｖａｃａｔｉｏｎ　ＳＴＡＹ提供】,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=175440,3584,050-5444-6620,
Ｐａｒａｄｉｓｅ　Ｉｎ＃２階＿国際通り２分【Ｖａｃａｔｉｏｎ　ＳＴＡＹ提供】,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=175441,3584,050-5444-6620,
Ｐａｒａｄｉｓｅ　Ｉｎ＃３階＿国際通り２分【Ｖａｃａｔｉｏｎ　ＳＴＡＹ提供】,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=175442,3584,050-5444-6620,
東横イン那覇旭橋駅前,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=52641,3800,098-951-1045,0
波の上クリスタルホテル,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=179329,3800,098-868-4190,
５－Ｄ　１０ｍｉｎｕｔｅｓ　ｂｙ　ｃａｒ　ｆｒｏｍ　　Ａｉｒｐｏｒ【Ｖａｃａｔｉｏｎ　ＳＴＡＹ提供】,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=175753,3846,050-5444-6620,
Ｇｏｏｄ　Ｌｉｆｅ　Ａｐａｒｔｍｅｎｔ【Ｖａｃａｔｉｏｎ　ＳＴＡＹ提供】,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=169632,3920,050-5444-6620,
ホテルアーバンシー３牧志,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=179082,3993,098-917-5357,
ルソレイル樋川【Ｖａｃａｔｉｏｎ　ＳＴＡＹ提供】,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=169535,4032,050-5444-6620,
スマイルハイツ【Ｖａｃａｔｉｏｎ　ＳＴＡＹ提供】,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=171040,4200,050-5444-6620,
サカエール＊ニライカナイ／民泊【Ｖａｃａｔｉｏｎ　ＳＴＡＹ提供】,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=173275,4256,050-5444-6620,
松山葦原ビル２０１号【Ｖａｃａｔｉｏｎ　ＳＴＡＹ提供】,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=170850,4382,050-5444-6620,
ＦＩＲＳＴ　ＳＴＲＥＥＴ　沖縄　国際通りテラス,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=151184,4500,09068678230,
マラカイト泉崎,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=181551,4560,070-1369-1334,
Ｅｘｓａｉｓｏｎ久茂地【Ｖａｃａｔｉｏｎ　ＳＴＡＹ提供】,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=169747,4630,050-5444-6620,
ゆかるひ前島４Ｆ【Ｖａｃａｔｉｏｎ　ＳＴＡＹ提供】,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=170894,4648,050-5444-6620,
Ｍａｃｃｉ　ｇｕｗａｔｔｉ【Ｖａｃａｔｉｏｎ　ＳＴＡＹ提供】,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=171196,5264,050-5444-6620,
Ｎｅｗ　ｏｐｅｎ　＊＊ＩＮＦＩＮＩＴＹ　ＨＯＴＥＬ　ＡＪＹＡ　　＊【Ｖａｃａｔｉｏｎ　ＳＴＡＹ提供】,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=175723,5847,050-5444-6620,
だるまマンション４０１【Ｖａｃａｔｉｏｎ　ＳＴＡＹ提供】,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=171219,6132,050-5444-6620,
ＯＮ　ＴＨＥ　ＳＡＭＥ　ＨＯＴＥＬ,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=179464,6500,080-5115-3625,
壷川２Ｆ／民泊【Ｖａｃａｔｉｏｎ　ＳＴＡＹ提供】,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=175882,6586,050-5444-6620,
Ａｋｅｂｏｎｏ　Ｈｏｕｓｅ,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=181822,7200,050-1180-4542,
那覇ラグーンホテルＩ,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=166487,7500,098-863-6999,
コーラルゲートイン久米,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=176788,8000,098-923-5555,
ＰＡＲＡＤＩＳＥ　ＩＮ＿国際通り徒歩２分【Ｖａｃａｔｉｏｎ　ＳＴＡＹ提供】,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=175423,8064,050-5444-6620,
ＨＯＴＥＬ　ＩＮＦＮＩＴＹ【Ｖａｃａｔｉｏｎ　ＳＴＡＹ提供】,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=174831,8176,050-5444-6620,
住みんちゅハウス出会（いちゃりば）,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=167072,8750,098-860-1700,
Ｈｏｔｅｌ　２０２０,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=183024,9000,098-923-5555,
沖縄那覇！国際通りまで車で７分★１２名宿泊ＯＫ！【Ｖａｃａｔｉｏｎ　ＳＴＡＹ提供】,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=173656,9184,050-5444-6620,
若狭の家【Ｖａｃａｔｉｏｎ　ＳＴＡＹ提供】,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=171089,9335,050-5444-6620,
ゆくれば前島ホテル,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=183089,13000,098-917-4908,
Ｍ’ｓリゾート久茂地＠ＬｉＢ　ＰＬＵＳ,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=178373,16000,090-3264-0065,
Ａｓ　ＢＬＤ,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=181426,19000,050-5212-7664,
ＡＳ＿ＢＬＤＧ　Ｄｏｗｎｔｏｗｎ　Ｍｅｔｒｏ　ＮＡＨＡ【Ｖａｃａｔｉｏｎ　ＳＴＡＹ提供】,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=173637,20160,050-5444-6620,
コンドミニアムＨｏｔｅｌおもろまち,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=173062,23000,080-3541-8712,
さくらや国際通り,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=179822,26500,090-9078-1990,
とまりんハウス,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=182045,42000,050-3749-6060,
ホテルピースランド,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=1396,,098-868-1212,4
ホテル　トランス　オーシャン,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=9457,,098-866-8109,5
照美荘,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=19349,,098-867-3616,0
旅館　新恵荘,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=28076,,098-866-1825,0
ビジネスホテル三和莊,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=28458,,098-867-8689,0
ピースリーイン新都心,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=39229,,098-869-2113,0
ゲストハウス　柏屋,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=40451,,098-869-8833,0
ソルヴィータホテル那覇,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=43753,,098-863-1234,4.67
ホテルナハ港,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=44084,,098-868-2673,
シティーフロント春海ユースホステル,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=67209,,098-867-3218,0
美ら海　（女性専用）,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=67382,,098-866-6593,0
沖縄の宿　あんどん（松尾館）,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=68058,,098-861-2778,4
リバーサイド旭橋,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=72700,,098-835-1818,
ホテル　ホワイトビーチ,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=72731,,098-979-9222,0
沖縄かりゆしアーバンリゾート・ナハ,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=79375,,098-860-2111,4.52
おきなわトレンドナビ,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=106152,,098-861-7222,0
Ａｎ庵げすとｉｎｎ,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=109175,,098-862-2446,0
Ｓｈｅｌｌ　Ｈｏｕｓｅ,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=129398,,098-864-0144,0
ビジネスホテルうえず荘,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=129565,,098-887-0323,
ＣＬＡＳＳ　ＩＮＮ　那覇新都心,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=141894,,098-864-1810,0
